               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.022146,            0.012554,            0.037775,             0.70898,             0.72513,             0.75557,             0.49241,            0.020026,           0.0041616,            0.022918,            0.004753,            0.004753,            0.004753
                  55,            0.022941,            0.012614,            0.039148,             0.71092,              0.7232,             0.75576,             0.49298,            0.020068,           0.0041582,            0.022876,            0.004654,            0.004654,            0.004654
                  56,            0.022858,            0.012553,            0.037902,             0.70749,             0.73111,             0.75707,             0.49364,             0.02009,           0.0041545,            0.022822,            0.004555,            0.004555,            0.004555
                  57,            0.021773,            0.012468,            0.036133,             0.70828,             0.73155,             0.75718,             0.49417,            0.020124,            0.004153,             0.02276,            0.004456,            0.004456,            0.004456
                  58,            0.021964,            0.012413,            0.036647,             0.71042,             0.73253,             0.75822,             0.49534,            0.020176,            0.004152,            0.022732,            0.004357,            0.004357,            0.004357
                  59,            0.022301,            0.012393,            0.037088,             0.70722,             0.73339,             0.75927,             0.49661,            0.020175,           0.0041511,            0.022748,            0.004258,            0.004258,            0.004258
                  60,            0.021746,            0.012462,            0.036691,              0.7074,             0.73767,             0.76008,             0.49745,            0.020154,           0.0041488,            0.022754,            0.004159,            0.004159,            0.004159
                  61,            0.021987,            0.012376,            0.035821,              0.7086,             0.73785,             0.76124,             0.49869,            0.020158,           0.0041466,            0.022739,             0.00406,             0.00406,             0.00406
                  62,            0.021504,            0.012317,            0.035863,             0.71083,             0.73709,              0.7623,             0.50005,            0.020141,           0.0041439,             0.02271,            0.003961,            0.003961,            0.003961
                  63,            0.022035,            0.012278,            0.036725,             0.71156,             0.73817,             0.76314,             0.50074,            0.020142,           0.0041425,            0.022668,            0.003862,            0.003862,            0.003862
                  64,            0.021777,            0.012151,            0.035933,             0.71421,             0.73821,             0.76362,             0.50088,            0.020147,            0.004141,            0.022648,            0.003763,            0.003763,            0.003763
                  65,            0.021366,            0.012241,            0.035032,             0.71401,             0.73851,             0.76486,              0.5016,            0.020137,           0.0041394,            0.022642,            0.003664,            0.003664,            0.003664
                  66,            0.021342,            0.012193,            0.034262,             0.71884,             0.73655,             0.76519,             0.50217,            0.020135,           0.0041398,            0.022622,            0.003565,            0.003565,            0.003565
                  67,            0.021335,            0.012237,            0.033913,             0.71724,             0.73891,             0.76558,             0.50299,            0.020166,           0.0041381,            0.022601,            0.003466,            0.003466,            0.003466
                  68,            0.022082,            0.012215,            0.034576,             0.71646,             0.73704,             0.76569,             0.50315,            0.020174,           0.0041357,            0.022602,            0.003367,            0.003367,            0.003367
                  69,            0.020705,            0.012095,            0.033635,              0.7171,             0.73933,             0.76613,             0.50386,            0.020186,           0.0041331,             0.02259,            0.003268,            0.003268,            0.003268
                  70,            0.020634,            0.011951,            0.032627,               0.719,             0.73846,             0.76671,              0.5045,            0.020172,           0.0041301,            0.022579,            0.003169,            0.003169,            0.003169
                  71,            0.020296,            0.011931,            0.033655,             0.71817,             0.74174,             0.76726,             0.50428,            0.020191,           0.0041271,            0.022522,             0.00307,             0.00307,             0.00307
                  72,            0.020617,            0.011965,            0.033261,             0.71843,              0.7405,              0.7681,             0.50556,            0.020189,           0.0041246,            0.022478,            0.002971,            0.002971,            0.002971
                  73,            0.020419,            0.011862,            0.032941,             0.71703,             0.74026,             0.76886,             0.50697,            0.020179,           0.0041191,            0.022442,            0.002872,            0.002872,            0.002872
                  74,            0.020877,            0.011968,            0.032794,             0.71832,             0.74132,             0.76971,             0.50878,            0.020178,           0.0041156,            0.022393,            0.002773,            0.002773,            0.002773
                  75,            0.020579,            0.011835,            0.030348,             0.72206,             0.73866,              0.7703,             0.50978,            0.020195,           0.0041136,            0.022378,            0.002674,            0.002674,            0.002674
                  76,            0.020224,            0.011748,            0.031018,             0.72391,             0.73907,             0.77141,             0.51018,            0.020196,           0.0041105,             0.02235,            0.002575,            0.002575,            0.002575
                  77,             0.01983,            0.011688,            0.030972,             0.72602,             0.73721,             0.77238,             0.51165,            0.020187,           0.0041087,            0.022338,            0.002476,            0.002476,            0.002476
                  78,            0.019975,            0.011696,            0.031071,              0.7299,             0.73573,             0.77338,             0.51186,            0.020181,           0.0041054,            0.022355,            0.002377,            0.002377,            0.002377
                  79,            0.019587,            0.011734,            0.030782,             0.73087,             0.73801,             0.77391,             0.51314,            0.020168,           0.0041022,            0.022377,            0.002278,            0.002278,            0.002278
                  80,            0.019101,            0.011555,            0.029568,             0.73238,             0.73907,             0.77476,             0.51396,            0.020153,           0.0040993,            0.022389,            0.002179,            0.002179,            0.002179
                  81,            0.020069,            0.011667,             0.03105,             0.73327,             0.73951,             0.77559,             0.51555,            0.020123,           0.0040963,            0.022413,             0.00208,             0.00208,             0.00208
                  82,            0.019346,             0.01156,            0.029632,             0.73256,             0.73983,             0.77605,             0.51619,            0.020096,           0.0040929,            0.022412,            0.001981,            0.001981,            0.001981
